POINT_COUNT: 35991
[2812.431113 1087.909597]	[2570.891173 1014.719663]
[2812.718749 1088.414698]	[2573.109607 1015.053911]
[2812.784181 1088.551724]	[2573.630781 1015.150119]
[2812.609846 1088.213732]	[2572.262588 1014.918484]
[2812.952531 1088.934448]	[2574.994407 1015.425142]
[2813.119364 1089.329442]	[2576.357283 1015.711998]
[2850.888040 1095.762666]	[2624.681157 1017.483562]
[2849.755809 1095.754488]	[2623.829801 1017.569638]
[2848.550356 1095.743154]	[2622.923273 1017.658779]
[2846.214979 1095.708553]	[2621.166773 1017.819408]
[2843.884304 1095.639276]	[2619.413715 1017.946482]
[2841.555674 1095.554392]	[2617.661857 1018.058477]
[2839.224727 1095.486977]	[2615.907557 1018.187430]
[2836.889429 1095.453324]	[2614.149075 1018.349129]
[2834.548567 1095.458706]	[2612.385428 1018.548745]
[2813.287396 1089.716179]	[2577.721632 1015.990760]
[2813.456909 1090.092985]	[2579.087699 1016.259794]
[2813.626099 1090.472699]	[2580.454010 1016.531577]
[2813.792497 1090.874127]	[2581.818464 1016.824368]
[2813.958758 1091.277301]	[2583.183273 1017.118775]
[2814.129356 1091.649534]	[2584.552235 1017.383050]
[2814.303140 1091.999167]	[2585.924377 1017.625299]
[2814.473591 1092.373715]	[2587.294190 1017.891672]
[2832.205600 1095.481034]	[2610.619450 1018.764837]
[2829.864678 1095.487794]	[2608.854687 1018.965899]
[2827.525735 1095.481168]	[2607.091071 1019.154021]
[2827.359479 1095.481450]	[2606.965692 1019.168116]
[2825.181828 1095.510662]	[2605.322758 1019.377245]
[2814.637150 1092.800489]	[2588.658697 1018.208673]
[2814.798634 1093.243205]	[2590.021942 1018.541071]
[2814.966087 1093.643098]	[2591.390708 1018.831803]
[2815.140344 1093.992937]	[2592.765691 1019.073867]
[2822.830607 1095.594812]	[2603.547761 1019.653557]
[2820.479262 1095.679387]	[2601.772144 1019.930368]
[2815.313460 1094.352313]	[2594.140218 1019.325107]
[2815.478167 1094.774563]	[2595.508132 1019.637310]
[2818.136834 1095.699280]	[2600.003514 1020.144470]
[2815.638723 1095.228818]	[2596.873042 1019.980492]
[2815.802920 1095.656025]	[2598.241520 1020.297344]
[2805.262680 1071.784878]	[2512.813429 1003.137171]
[2805.422096 1072.196512]	[2514.147887 1003.443809]
[2805.582773 1072.599964]	[2515.483862 1003.742400]
[2805.750029 1072.955043]	[2516.825868 1003.993829]
[2805.921567 1073.279617]	[2518.171907 1004.215488]
[2806.091583 1073.616229]	[2519.517157 1004.448792]
[2806.250894 1074.032586]	[2520.853894 1004.759643]
[2806.408689 1074.461021]	[2522.189863 1005.082167]
[2802.372006 1093.929928]	[2510.956537 1024.656312]
[2802.504305 1093.791753]	[2511.702008 1024.471398]
[2802.723442 1093.761579]	[2513.086757 1024.346737]
[2802.865670 1094.300882]	[2514.407522 1024.776608]
[2802.246828 1094.106416]	[2510.285585 1024.873109]
[2802.909529 1095.407510]	[2515.524271 1025.768523]
[2802.908787 1095.574948]	[2515.645623 1025.921883]
[2802.854358 1097.571399]	[2516.802378 1027.770453]
[2802.825294 1098.230257]	[2517.112953 1028.385400]
[2802.726873 1100.109452]	[2517.898222 1030.146243]
[2802.681671 1100.890713]	[2518.197810 1030.880141]
[2802.573156 1102.841361]	[2518.972517 1032.710625]
[2802.539839 1103.557323]	[2519.298556 1033.379571]
[2802.489422 1105.056949]	[2520.105958 1034.772036]
[2802.478098 1106.446942]	[2521.081639 1036.046851]
[2802.479791 1106.724789]	[2521.302005 1036.299904]
[2802.491232 1108.237192]	[2522.516175 1037.676262]
[2802.519534 1109.624742]	[2523.744021 1038.930966]
[2802.519539 1109.625784]	[2523.744978 1038.931906]
[2802.588146 1110.716862]	[2525.008051 1039.897726]
[2802.681258 1111.627516]	[2526.292172 1040.687748]
[2802.771694 1112.558520]	[2527.574490 1041.497466]
[2802.845447 1113.596099]	[2528.829750 1042.411899]
[2802.846156 1113.608687]	[2528.843888 1042.423068]
[2802.906113 1114.766751]	[2530.101550 1043.453584]
[2802.973912 1115.867892]	[2531.366260 1044.428544]
[2803.066288 1116.787909]	[2532.652069 1045.227057]
[2803.180057 1117.550250]	[2533.956328 1045.871967]
[2803.196584 1117.643811]	[2534.132938 1045.949956]
[2803.306377 1118.220471]	[2535.271614 1046.427099]
[2803.439847 1118.838934]	[2536.593377 1046.931748]
[2803.566243 1119.510364]	[2537.909669 1047.487852]
[2803.669984 1120.350507]	[2539.207384 1048.208050]
[2803.734257 1121.482982]	[2540.472418 1049.212638]
[2803.748416 1122.257089]	[2541.146659 1049.912619]
[2803.745747 1123.006352]	[2541.693504 1050.597512]
[2803.695973 1124.983346]	[2542.863554 1052.423687]
[2803.689499 1125.172369]	[2542.964546 1052.599046]
[2803.603516 1127.276991]	[2543.998134 1054.557837]
[2803.572593 1127.927535]	[2544.290229 1055.165207]
[2803.474778 1129.839323]	[2545.102616 1056.953284]
[2803.431987 1130.617643]	[2545.414757 1057.682527]
[2803.285064 1132.852919]	[2546.156241 1059.787701]
[2803.256782 1133.211984]	[2546.245512 1060.127963]
[2803.032216 1135.668161]	[2546.655730 1062.469630]
[2802.788173 1138.070022]	[2546.900522 1064.770547]
[2802.757970 1138.361623]	[2546.926392 1065.050165]
[2802.543496 1140.470369]	[2547.139957 1067.070391]
[2802.299992 1142.874203]	[2547.389707 1069.372882]
[2802.055859 1145.164149]	[2547.549580 1071.571832]
[2875.877073 1107.938991]	[2643.298888 1027.052783]
[2875.844514 1110.231437]	[2643.247355 1029.246709]
[2875.682332 1112.508687]	[2643.098814 1031.436976]
[2875.489713 1114.781979]	[2642.927515 1033.626065]
[2875.337954 1117.059943]	[2642.786775 1035.816253]
[2875.215244 1119.340874]	[2642.667765 1038.006888]
[2875.073136 1121.619383]	[2642.534252 1040.196885]
[2874.877846 1123.891552]	[2642.360948 1042.385357]
[2874.620179 1126.156279]	[2642.140947 1044.572049]
[2874.304571 1128.414049]	[2641.877565 1046.757077]
[2873.936725 1130.665685]	[2641.575080 1048.940765]
[2873.531924 1132.912681]	[2641.244942 1051.123264]
[2873.107434 1135.157108]	[2640.900023 1053.305104]
[2872.666378 1137.399496]	[2640.542688 1055.486532]
[2872.217762 1139.640869]	[2640.179670 1057.667765]
[2871.771804 1141.882106]	[2639.818639 1059.848772]
[2871.330560 1144.123691]	[2639.461094 1062.029842]
[2870.920853 1146.368598]	[2639.127178 1064.211513]
[2870.567179 1148.619763]	[2638.835190 1066.394478]
[2870.234913 1150.873024]	[2638.559231 1068.577712]
[2869.864578 1153.121746]	[2638.254751 1070.759987]
[2869.418835 1155.361527]	[2637.893768 1072.940331]
[2868.906774 1157.593437]	[2637.483107 1075.119010]
[2868.395421 1159.825125]	[2637.072939 1077.297566]
[2867.948198 1162.064018]	[2636.710804 1079.477600]
[2867.560212 1164.309358]	[2636.393004 1081.658789]
[2867.190733 1166.556548]	[2636.089081 1083.840253]
[2866.834744 1168.805155]	[2635.795229 1086.022008]
[2866.504148 1171.056257]	[2635.520420 1088.204040]
[2866.183384 1173.308322]	[2635.252936 1090.386236]
[2865.846178 1175.558272]	[2634.973137 1092.567945]
[2865.468026 1177.803190]	[2634.662652 1094.748533]
[2802.046430 1145.249832]	[2547.553730 1071.654241]
[2801.781419 1147.593192]	[2547.620064 1073.911416]
[2801.508789 1149.914842]	[2547.621333 1076.152306]
[2801.238816 1152.243952]	[2547.645154 1078.398841]
[2800.981906 1154.610451]	[2547.780816 1080.673541]
[2800.934286 1155.067803]	[2547.819897 1081.112237]
[2800.736765 1157.010584]	[2548.017288 1082.973541]
[2865.217432 1179.104433]	[2634.459099 1096.015295]
[2865.021309 1180.040017]	[2634.300768 1096.927514]
[2864.518683 1182.270228]	[2633.896964 1099.105217]
[2864.026762 1184.501281]	[2633.501142 1101.282929]
[2863.599785 1186.739566]	[2633.153974 1103.461976]
[2863.218701 1188.982935]	[2632.841214 1105.641954]
[2862.838154 1191.226032]	[2632.528853 1107.821739]
[2862.432773 1193.466128]	[2632.197837 1110.000968]
[2862.004502 1195.703240]	[2631.849642 1112.179497]
[2861.614964 1197.944566]	[2631.530484 1114.358739]
[2861.288452 1200.192897]	[2631.258570 1116.539187]
[2860.956240 1202.440235]	[2630.982351 1118.719294]
[2860.557093 1204.679697]	[2630.655951 1120.897944]
[2860.119122 1206.914537]	[2630.300410 1123.075763]
[2859.691891 1209.150130]	[2629.952919 1125.253470]
[2859.238219 1211.382626]	[2629.585586 1127.430712]
[2858.779527 1213.614245]	[2629.214438 1129.607701]
[2800.494147 1159.418057]	[2548.275154 1085.279107]
[2800.234644 1161.777562]	[2548.388924 1087.548691]
[2800.173635 1162.303675]	[2548.394180 1088.056199]
[2799.961297 1164.097256]	[2548.384018 1089.788382]
[2799.680974 1166.396881]	[2548.319360 1092.013040]
[2799.396024 1168.683086]	[2548.214855 1094.227666]
[2799.110286 1170.966772]	[2548.103522 1096.440421]
[2798.827048 1173.257606]	[2548.013521 1098.658610]
[2798.545739 1175.553801]	[2547.939929 1100.880859]
[2798.267986 1177.860150]	[2547.896770 1103.110778]
[2798.127436 1179.041874]	[2547.885876 1104.252553]
[2797.993726 1180.176597]	[2547.883400 1105.348352]
[2797.721565 1182.499048]	[2547.888250 1107.590459]
[2797.447452 1184.815825]	[2547.876274 1109.828358]
[2797.173769 1187.133845]	[2547.867956 1112.067247]
[2796.903401 1189.461457]	[2547.888031 1114.313387]
